task,method,seed,edit_success_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,decision,failure_flags,result_image,review_grid,notes
tshirt_star,support_v3_controller_rmsgap,11,5,5,5,1,5,pass,success,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,"large red star centered on shirt; folds, pose, jeans, and background stable"
tshirt_star,support_v3_controller_rmsgap,12,5,5,5,1,5,pass,success,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/tshirt_star_audit_grid.png,"large red star centered on shirt; folds, pose, jeans, and background stable"
red_chair_blue,base_only,10,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/red_chair_blue/base_only/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,base reconstruction; chair remains red
red_chair_blue,base_only,11,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/red_chair_blue/base_only/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,base reconstruction; chair remains red
red_chair_blue,base_only,12,0,4,4,1,3,pass,reconstruction_ok,outputs/pretty_matrix/red_chair_blue/base_only/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,base reconstruction; chair remains red
red_chair_blue,direct_target,10,1,3,3,2,1,reject,semantic_miss,outputs/pretty_matrix/red_chair_blue/direct_target/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair remains red/pink; target recolor not achieved
red_chair_blue,direct_target,11,1,3,3,2,1,reject,semantic_miss,outputs/pretty_matrix/red_chair_blue/direct_target/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair remains red/pink; target recolor not achieved
red_chair_blue,direct_target,12,1,3,3,2,1,reject,semantic_miss,outputs/pretty_matrix/red_chair_blue/direct_target/seed_12/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair remains red/pink; target recolor not achieved
red_chair_blue,adaptive_full_generic_support,10,5,4,5,1,4,pass,success,outputs/pretty_matrix/red_chair_blue/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair becomes blue; local preservation good
red_chair_blue,adaptive_full_generic_support,11,5,4,5,1,4,pass,success,outputs/pretty_matrix/red_chair_blue/adaptive_full_generic_support/seed_11/result.png,experiments/support_v3_2026-06-02/visual_audit/red_chair_blue_audit_grid.png,chair becomes blue; local preservation good
