group,task,method,seed,source_path,normalized_path,original_size,fitted_size,offset,backbone,normalization_policy
e2_native_flux_result,backpack_remove_toy_charm,rf_solver_edit,10,outputs/baselines/rf_solver_edit/backpack_remove_toy_charm/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/backpack_remove_toy_charm/seed_10.png,384x512,384x512,"64,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,rf_solver_edit,11,outputs/baselines/rf_solver_edit/backpack_remove_toy_charm/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/backpack_remove_toy_charm/seed_11.png,384x512,384x512,"64,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,rf_solver_edit,12,outputs/baselines/rf_solver_edit/backpack_remove_toy_charm/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/backpack_remove_toy_charm/seed_12.png,384x512,384x512,"64,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,reflex,10,outputs/baselines/reflex/cat_crown/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/cat_crown/seed_10.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,reflex,11,outputs/baselines/reflex/cat_crown/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/cat_crown/seed_11.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,reflex,12,outputs/baselines/reflex/cat_crown/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/cat_crown/seed_12.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,bowl_apple_inside,reflex,10,outputs/baselines/reflex/bowl_apple_inside/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/bowl_apple_inside/seed_10.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,bowl_apple_inside,reflex,11,outputs/baselines/reflex/bowl_apple_inside/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/bowl_apple_inside/seed_11.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,bowl_apple_inside,reflex,12,outputs/baselines/reflex/bowl_apple_inside/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/bowl_apple_inside/seed_12.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,tshirt_star,reflex,10,outputs/baselines/reflex/tshirt_star/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/tshirt_star/seed_10.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,tshirt_star,reflex,11,outputs/baselines/reflex/tshirt_star/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/tshirt_star/seed_11.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,tshirt_star,reflex,12,outputs/baselines/reflex/tshirt_star/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/tshirt_star/seed_12.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,red_chair_blue,reflex,10,outputs/baselines/reflex/red_chair_blue/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/red_chair_blue/seed_10.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,red_chair_blue,reflex,11,outputs/baselines/reflex/red_chair_blue/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/red_chair_blue/seed_11.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,red_chair_blue,reflex,12,outputs/baselines/reflex/red_chair_blue/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/red_chair_blue/seed_12.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,pillow_vertical_fabric_strip,reflex,10,outputs/baselines/reflex/pillow_vertical_fabric_strip/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/pillow_vertical_fabric_strip/seed_10.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,pillow_vertical_fabric_strip,reflex,11,outputs/baselines/reflex/pillow_vertical_fabric_strip/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/pillow_vertical_fabric_strip/seed_11.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,pillow_vertical_fabric_strip,reflex,12,outputs/baselines/reflex/pillow_vertical_fabric_strip/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/pillow_vertical_fabric_strip/seed_12.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,reflex,10,outputs/baselines/reflex/backpack_remove_toy_charm/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/backpack_remove_toy_charm/seed_10.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,reflex,11,outputs/baselines/reflex/backpack_remove_toy_charm/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/backpack_remove_toy_charm/seed_11.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,reflex,12,outputs/baselines/reflex/backpack_remove_toy_charm/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/reflex/backpack_remove_toy_charm/seed_12.png,1024x1024,512x512,"0,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
