base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,edit_scale,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,lpips_full_max,lpips_full_mean,lpips_full_min,lpips_outside_max,lpips_outside_mean,lpips_outside_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_fixed,0.08854267001152039,0.07482337951660156,0.06301477551460266,1.5,0.2490067034959793,0.24583092331886292,0.24196967482566833,0.07950696349143982,0.07049418985843658,0.05677714943885803,0.1085360199213028,0.10838947693506877,0.10827276110649109,0.09173285216093063,0.09170240660508473,0.09165745228528976,3,0.055349696427583694,0.055343144883712135,0.055334579199552536,0.8566949865956652,0.856633591654541,0.8565548202818642,0.14344517971813575,0.1433664083454589,0.14330501340433477,cat_crown
support_v3_fixed,0.09826229512691498,0.09720546503861745,0.09600816667079926,2.0,0.24192914366722107,0.23695201178391775,0.23440809547901154,0.11071117222309113,0.1054273893435796,0.0963866263628006,0.11036845296621323,0.11000896493593852,0.10975231230258942,0.09137526154518127,0.09114717940489452,0.09086959064006805,3,0.05540815368294716,0.05538547287384669,0.05535094067454338,0.856641579268788,0.8560418345366526,0.8550554842747383,0.14494451572526168,0.1439581654633474,0.14335842073121197,cat_crown
support_v3_controller_rmsgap,0.09471014142036438,0.09436797102292378,0.09378740191459656,0.5,0.17015014588832855,0.16962486505508423,0.16879084706306458,0.09701526165008545,0.0965396910905838,0.09607402980327606,0.16092023253440857,0.1603025197982788,0.15996548533439636,0.11566528677940369,0.11563314994176228,0.11560805141925812,3,0.04544183239340782,0.04544069245457649,0.04543999210000038,0.907954711623935,0.9077764302613677,0.9076416906521687,0.09235830934783129,0.09222356973863237,0.09204528837606496,dog_sunglasses
support_v3_controller_rmsgap,0.09714639186859131,0.09662874539693196,0.0957750678062439,0.75,0.17533619701862335,0.17387372752030691,0.17274674773216248,0.0988357663154602,0.09357287486394246,0.09067952632904053,0.16488660871982574,0.16426331301530203,0.16392242908477783,0.11581828445196152,0.11562764644622803,0.11551905423402786,3,0.04562066122889519,0.04561695704857508,0.0456099733710289,0.9068624757320422,0.9064637203483104,0.9058728419231659,0.09412715807683414,0.0935362796516896,0.09313752426795785,dog_sunglasses
support_v3_controller_rmsgap,0.09999081492424011,0.09947415192921956,0.09912973642349243,1.0,0.18449459969997406,0.18400058646996817,0.1832183301448822,0.09554773569107056,0.09535729885101318,0.09516343474388123,0.1658051609992981,0.16564156115055084,0.16537830233573914,0.11651688814163208,0.1164539431532224,0.11635182052850723,3,0.0457797534763813,0.045775990933179855,0.045773882418870926,0.9033043670434197,0.9030661194161683,0.902944294606063,0.09705570539393704,0.09693388058383168,0.09669563295658035,dog_sunglasses
support_v3_controller_rmsgap,0.10135495662689209,0.09727998574574788,0.09523621201515198,1.25,0.1856091469526291,0.18256761133670807,0.1805904060602188,0.09285292029380798,0.09106372793515523,0.0900738537311554,0.16399642825126648,0.16382628679275513,0.16358110308647156,0.11713887006044388,0.11680338283379872,0.11661894619464874,3,0.04586227983236313,0.045854367315769196,0.04584667459130287,0.9041463068823078,0.9034247183542247,0.9022671853841416,0.09773281461585837,0.0965752816457753,0.0958536931176922,dog_sunglasses
support_v3_controller_rmsgap,0.09206080436706543,0.09052215019861858,0.08974084258079529,1.5,0.1884525567293167,0.18605199456214905,0.18433834612369537,0.09432640671730042,0.09200825293858846,0.09039774537086487,0.16345050930976868,0.16262942552566528,0.1615373194217682,0.11721688508987427,0.11710456758737564,0.11698268353939056,3,0.04590127244591713,0.04589590678612391,0.04589163884520531,0.9026280369267004,0.9022833127245127,0.9017312682710589,0.09826873172894113,0.0977166872754874,0.09737196307329965,dog_sunglasses
support_v3_controller_rmsgap,0.10511994361877441,0.10091187556584676,0.09809082746505737,2.0,0.2330452799797058,0.2121576319138209,0.1985343098640442,0.10004681348800659,0.09563725193341573,0.0926479697227478,0.16727355122566223,0.1655007799466451,0.16415846347808838,0.11765110492706299,0.1170133724808693,0.11657198518514633,3,0.046233195811510086,0.046093907207250595,0.04601852968335152,0.898166559416422,0.8937813720291533,0.8873355792389985,0.11266442076100147,0.10621862797084673,0.10183344058357802,dog_sunglasses
support_v3_fixed,0.09650763869285583,0.0960724949836731,0.09585338830947876,0.5,0.16899248957633972,0.16894840697447458,0.16892093420028687,0.10152173042297363,0.10123585661252339,0.1008678525686264,0.16472947597503662,0.16464053591092428,0.1645444631576538,0.1183277815580368,0.11831106493870418,0.11830156296491623,3,0.045434579253196716,0.0454331636428833,0.04543130472302437,0.9082770938148562,0.9082504995544963,0.9082268766179715,0.09177312338202848,0.0917495004455036,0.09172290618514378,dog_sunglasses
support_v3_fixed,0.09828844666481018,0.09666186571121216,0.09563204646110535,0.75,0.18032485246658325,0.17939971884091696,0.17781397700309753,0.10039196908473969,0.10009804864724477,0.09988287091255188,0.16870549321174622,0.16831879814465842,0.16811497509479523,0.1188640296459198,0.11884947369496028,0.11883620172739029,3,0.0456460602581501,0.04564415290951729,0.04564165696501732,0.9056431717942288,0.9050601196195119,0.9047402332523544,0.09525976674764558,0.09493988038048802,0.09435682820577118,dog_sunglasses
