condition,delta_inside_mask_l1,delta_local_clip_target_minus_source,delta_lpips_outside,delta_outside_mask_l1,delta_source_ssim_luma,delta_ssim_loss,family,seed,task
dilate,-0.0003141164779663086,-0.0011968016624450684,-0.007148377597332001,-0.00036037713289260864,-0.004906415645193785,0.004906415645193785,support_perturb,10,cat_crown
dilate,-0.007214337587356567,-0.00026763975620269775,-0.008142814040184021,-0.000513758510351181,0.00038520886661963516,-0.00038520886661963516,support_perturb,11,cat_crown
dilate,0.0031734108924865723,-0.0008577704429626465,-0.007520832121372223,-0.0003521740436553955,-0.003962058869756979,0.003962058869756979,support_perturb,12,cat_crown
erode,-0.006113708019256592,0.0014714449644088745,-0.0017927438020706177,0.00014114007353782654,-6.732954823107651e-05,6.732954823107651e-05,support_perturb,10,cat_crown
erode,-0.007008790969848633,0.006058722734451294,-0.0017373859882354736,0.0001415461301803589,3.101484012635325e-05,-3.101484012635325e-05,support_perturb,11,cat_crown
erode,-0.004137635231018066,0.0016564875841140747,-0.0018318220973014832,0.00012626871466636658,-0.00024729518954247354,0.00024729518954247354,support_perturb,12,cat_crown
holes,-0.008907333016395569,0.001423373818397522,-2.018362283706665e-05,0.00033557042479515076,0.000174557452096602,-0.000174557452096602,support_perturb,10,cat_crown
holes,-0.005376532673835754,0.0037234872579574585,-0.000292457640171051,0.00034787505865097046,-0.00033279835371047284,0.00033279835371047284,support_perturb,11,cat_crown
holes,-0.009215831756591797,0.015204742550849915,0.0002093389630317688,0.0003373473882675171,-0.0005658205943775974,0.0005658205943775974,support_perturb,12,cat_crown
shift,-0.012001678347587585,-0.0008433163166046143,-0.008092179894447327,-0.00041798874735832214,0.00605206219626131,-0.00605206219626131,support_perturb,10,cat_crown
shift,-0.014266222715377808,0.0024030208587646484,-0.006892196834087372,-0.00018335506319999695,0.005302609261890745,-0.005302609261890745,support_perturb,11,cat_crown
shift,-0.01431339979171753,0.003316149115562439,-0.006743602454662323,-0.00012158229947090149,0.004737312576370223,-0.004737312576370223,support_perturb,12,cat_crown
050,0.0011576563119888306,-0.004788205027580261,-0.0026362761855125427,8.225440979003906e-06,-0.0005851859658028147,0.0005851859658028147,edit_strength,10,dog_sunglasses
050,0.0010126680135726929,-0.004793822765350342,-0.002695798873901367,5.673617124557495e-06,-0.0005146397226623023,0.0005146397226623023,edit_strength,11,dog_sunglasses
050,-0.00014095008373260498,-0.004506468772888184,-0.002701669931411743,8.687376976013184e-06,-0.0003223821909211777,0.0003223821909211777,edit_strength,12,dog_sunglasses
075,-0.005067229270935059,-0.009203344583511353,-0.0033449754118919373,-2.450495958328247e-05,0.001219303937813332,-0.001219303937813332,edit_strength,10,dog_sunglasses
075,-0.006522089242935181,-0.009188637137413025,-0.0033025890588760376,-2.0995736122131348e-05,0.0018588895777704728,-0.0018588895777704728,edit_strength,11,dog_sunglasses
075,-0.0049886554479599,-0.001183539628982544,-0.003017917275428772,-3.608688712120056e-05,0.0011326086708114413,-0.0011326086708114413,edit_strength,12,dog_sunglasses
100,0.0011140257120132446,-0.0009826719760894775,-0.002926282584667206,-4.87007200717926e-05,-0.0005688477933334379,0.0005688477933334379,edit_strength,10,dog_sunglasses
100,0.00021363794803619385,-0.0018637478351593018,-0.0031463056802749634,-5.666166543960571e-05,-0.0004167000418853206,0.0004167000418853206,edit_strength,11,dog_sunglasses
100,0.0016139298677444458,-0.0001518726348876953,-0.002950891852378845,-5.901232361793518e-05,-0.0007125061184407588,0.0007125061184407588,edit_strength,12,dog_sunglasses
125,-0.0072817206382751465,-0.0042867958545684814,-0.0036062821745872498,-8.763372898101807e-05,0.001885576417778645,-0.001885576417778645,edit_strength,10,dog_sunglasses
125,-0.0065584927797317505,-0.0023070871829986572,-0.0036515146493911743,-6.682053208351135e-05,0.001462551980486504,-0.001462551980486504,edit_strength,11,dog_sunglasses
125,-0.0018558502197265625,-0.000756382942199707,-0.0031254813075065613,-5.915015935897827e-05,-0.00031506410071313606,0.00031506410071313606,edit_strength,12,dog_sunglasses
150,-0.007857531309127808,0.002105116844177246,-0.0036371275782585144,-0.00015347450971603394,0.0020840024903265864,-0.0020840024903265864,edit_strength,10,dog_sunglasses
150,-0.004082292318344116,-0.00023433566093444824,-0.0033657997846603394,-0.00015241652727127075,0.0015069281075131835,-0.0015069281075131835,edit_strength,11,dog_sunglasses
150,-0.01024220883846283,0.004604935646057129,-0.003688216209411621,-0.0001176595687866211,0.0024416967445695104,-0.0024416967445695104,edit_strength,12,dog_sunglasses
200,-0.010452434420585632,0.001933455467224121,-0.003865636885166168,-0.00019808486104011536,0.0028522499977938764,-0.0028522499977938764,edit_strength,10,dog_sunglasses
200,0.017468735575675964,0.009396463632583618,-0.0024980008602142334,5.32492995262146e-05,-0.005486250123358127,0.005486250123358127,edit_strength,11,dog_sunglasses
200,-0.017584234476089478,0.006971240043640137,-0.003529682755470276,-0.00018100067973136902,0.005609791818373511,-0.005609791818373511,edit_strength,12,dog_sunglasses
boundary_noise,0.00023940205574035645,0.000628739595413208,-0.003077179193496704,-4.731491208076477e-05,-0.00035224489479268595,0.00035224489479268595,support_perturb,10,dog_sunglasses
boundary_noise,-0.0034893155097961426,-0.008211404085159302,-0.0026020556688308716,-7.584691047668457e-06,0.00043583176459005557,-0.00043583176459005557,support_perturb,11,dog_sunglasses
boundary_noise,-0.005486279726028442,-0.0017785131931304932,-0.003151029348373413,-7.872283458709717e-05,0.0010871962182360528,-0.0010871962182360528,support_perturb,12,dog_sunglasses
dilate,-0.0056496262550354,-0.007169663906097412,-0.004246853291988373,-0.00024377182126045227,0.0010583966301824788,-0.0010583966301824788,support_perturb,10,dog_sunglasses
dilate,0.0007312893867492676,0.0026208162307739258,-0.002876967191696167,-0.00030372291803359985,-0.0009378081155385631,0.0009378081155385631,support_perturb,11,dog_sunglasses
dilate,-0.0018804669380187988,0.0024316012859344482,-0.003961905837059021,-0.0002653747797012329,0.000739429496111943,-0.000739429496111943,support_perturb,12,dog_sunglasses
erode,-0.0026046335697174072,-0.002183258533477783,-0.0024483203887939453,-4.646182060241699e-05,0.00045066390478787355,-0.00045066390478787355,support_perturb,10,dog_sunglasses
erode,-0.003433793783187866,-0.0027202069759368896,-0.0024657174944877625,-4.3682754039764404e-05,0.0007736646620792875,-0.0007736646620792875,support_perturb,11,dog_sunglasses
erode,-0.003594905138015747,-0.0020476877689361572,-0.002539791166782379,-4.747509956359863e-05,0.0006749815888396071,-0.0006749815888396071,support_perturb,12,dog_sunglasses
holes,-0.0016074031591415405,-0.007578670978546143,-0.0034841224551200867,-4.453584551811218e-05,-6.872028441495814e-05,6.872028441495814e-05,support_perturb,10,dog_sunglasses
holes,-0.0025420784950256348,-0.0020177364349365234,-0.0031185075640678406,-2.6378780603408813e-05,0.00035118208059881084,-0.00035118208059881084,support_perturb,11,dog_sunglasses
holes,-0.0014560818672180176,-0.005432724952697754,-0.002889677882194519,-3.1653791666030884e-05,-0.0001483290913507629,0.0001483290913507629,support_perturb,12,dog_sunglasses
shift,-0.002549111843109131,-0.0036830008029937744,-0.0029342249035835266,-0.00012188777327537537,-1.2267436816482125e-05,1.2267436816482125e-05,support_perturb,10,dog_sunglasses
shift,-0.0018855780363082886,-0.0014229416847229004,-0.003054387867450714,-0.00010860338807106018,-0.000158240832783485,0.000158240832783485,support_perturb,11,dog_sunglasses
shift,-0.005974829196929932,0.0007318258285522461,-0.002935566008090973,-0.00011212006211280823,0.0010501880490120241,-0.0010501880490120241,support_perturb,12,dog_sunglasses
050,-0.0032816603779792786,0.0020744800567626953,-0.001392655074596405,-9.533297270536423e-05,0.0020343553990810337,-0.0020343553990810337,edit_strength,10,mug_heart
050,-0.0025352127850055695,0.0019304752349853516,-0.001279722899198532,-8.358806371688843e-05,0.0008729865028102024,-0.0008729865028102024,edit_strength,11,mug_heart
050,-0.0020009316504001617,0.0007831752300262451,-0.0010194741189479828,-6.416952237486839e-05,0.0005990278863017284,-0.0005990278863017284,edit_strength,12,mug_heart
075,-0.0024123340845108032,0.0011312365531921387,-0.001588914543390274,-0.00011392822489142418,0.0020948497163769675,-0.0020948497163769675,edit_strength,10,mug_heart
075,0.0010389238595962524,0.0005322694778442383,0.002070177346467972,-3.234483301639557e-06,-0.0018914825566127558,0.0018914825566127558,edit_strength,11,mug_heart
075,-0.0014355108141899109,0.0013809800148010254,-0.0007445551455020905,-7.97477550804615e-05,0.0014875215150200738,-0.0014875215150200738,edit_strength,12,mug_heart
100,-0.0017165318131446838,0.0008209049701690674,-0.003008916974067688,-9.704427793622017e-05,0.0036289301363413573,-0.0036289301363413573,edit_strength,10,mug_heart
100,-0.00167112797498703,-8.705258369445801e-05,-0.008044444024562836,-0.00011300202459096909,0.004571719191091672,-0.004571719191091672,edit_strength,11,mug_heart
100,-0.0014535188674926758,0.00022110342979431152,-0.005102820694446564,-9.462516754865646e-05,0.004027760515230017,-0.004027760515230017,edit_strength,12,mug_heart
125,-0.0009243041276931763,-0.0006349682807922363,5.311518907546997e-05,-2.226792275905609e-05,0.0026515775777742334,-0.0026515775777742334,edit_strength,10,mug_heart
125,-0.0009214803576469421,-0.0025177299976348877,-0.0012497156858444214,-9.393133223056793e-05,0.002373806376280263,-0.002373806376280263,edit_strength,11,mug_heart
125,-0.0005774274468421936,-0.0008862912654876709,-0.00013752281665802002,-3.128033131361008e-05,0.001710765685793203,-0.001710765685793203,edit_strength,12,mug_heart
150,-0.0009109824895858765,-0.0013817548751831055,0.00017163902521133423,4.260800778865814e-06,0.0024843670637381132,-0.0024843670637381132,edit_strength,10,mug_heart
150,-0.0011644214391708374,0.0005613863468170166,-4.661083221435547e-05,-7.39656388759613e-06,0.003091322480788583,-0.003091322480788583,edit_strength,11,mug_heart
150,-0.0022761449217796326,-0.0006248056888580322,-0.0014736093580722809,-0.00010679103434085846,0.0049617264887074075,-0.0049617264887074075,edit_strength,12,mug_heart
200,-0.004124552011489868,-0.00011146068572998047,-0.002183191478252411,-0.0001153852790594101,0.007162628748879518,-0.007162628748879518,edit_strength,10,mug_heart
200,-0.005786687135696411,0.001050114631652832,-0.0037799999117851257,-0.0002045007422566414,0.008615823507230558,-0.008615823507230558,edit_strength,11,mug_heart
200,-0.0038831084966659546,-0.00029712915420532227,-0.0028634443879127502,-0.00012890808284282684,0.005015416865938871,-0.005015416865938871,edit_strength,12,mug_heart
boundary_noise,-0.0018183961510658264,0.0010779201984405518,-0.0022947601974010468,-0.000120493583381176,0.0015462124921602483,-0.0015462124921602483,support_perturb,10,mug_heart
boundary_noise,-0.0012544803321361542,0.00019660592079162598,-0.0025930628180503845,-0.000176173634827137,-0.0013536475200044418,0.0013536475200044418,support_perturb,11,mug_heart
boundary_noise,-0.0009355582296848297,0.0007172524929046631,-0.0011213738471269608,-8.526770398020744e-05,-0.00013178679470415844,0.00013178679470415844,support_perturb,12,mug_heart
dilate,-0.00016602873802185059,0.0024200081825256348,0.00010651350021362305,-3.216695040464401e-05,-0.0006991308521150374,0.0006991308521150374,support_perturb,10,mug_heart
