base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,lpips_full_max,lpips_full_mean,lpips_full_min,lpips_outside_max,lpips_outside_mean,lpips_outside_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,perturbation,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.09891891479492188,0.09721816579500835,0.09601584076881409,0.1845865100622177,0.1822307010491689,0.17935797572135925,0.0967528223991394,0.09320318698883057,0.09120059013366699,0.16508778929710388,0.16476354002952576,0.16458335518836975,0.11733487993478775,0.11650950958331426,0.11585922539234161,3,0.045729901641607285,0.04572440932194392,0.045717786997556686,boundary_noise,0.9047255072128176,0.9039353476114509,0.9035236312483882,0.09647636875161181,0.09606465238854907,0.09527449278718236,dog_sunglasses
support_v3_controller_rmsgap,0.09448713064193726,0.0942001740137736,0.09373453259468079,0.28347596526145935,0.2625458439191182,0.22287112474441528,0.09357944130897522,0.09158457318941753,0.08788827061653137,0.18125945329666138,0.17778785030047098,0.17098087072372437,0.14390644431114197,0.1374687577287356,0.1248941496014595,3,0.05002265051007271,0.048864236722389855,0.046657539904117584,dilate,0.8911312003245407,0.873565701376684,0.8642726897200652,0.1357273102799348,0.12643429862331593,0.10886879967545926,dog_sunglasses
support_v3_controller_rmsgap,0.09548848867416382,0.09508167703946431,0.09455224871635437,0.1494300365447998,0.14883334438006082,0.14790083467960358,0.08934983611106873,0.0890155831972758,0.08869040012359619,0.14906500279903412,0.14890933533509573,0.14873522520065308,0.11187797039747238,0.111872099339962,0.11186319589614868,3,0.0453578382730484,0.04535716772079468,0.04535610228776932,erode,0.9138203838048797,0.9134773104061024,0.9132496475825024,0.08675035241749762,0.08652268959389764,0.08617961619512027,dog_sunglasses
support_v3_controller_rmsgap,0.0984717309474945,0.09555312991142273,0.09087321162223816,0.1845971643924713,0.18010641634464264,0.17687328159809113,0.09233805537223816,0.08937849601109822,0.08514600992202759,0.1654396653175354,0.1639725317557653,0.16311489045619965,0.11604712158441544,0.11596377690633138,0.11580977588891983,3,0.04573369771242142,0.04568540180722872,0.04562811180949211,holes,0.9056151113659056,0.9043947639398479,0.9028555500835441,0.09714444991645588,0.09560523606015203,0.09438488863409444,dog_sunglasses
support_v3_controller_rmsgap,0.09718325734138489,0.09616260727246602,0.09467551112174988,0.1953115463256836,0.19490147630373636,0.1942409873008728,0.0909062922000885,0.08985652526219685,0.08929142355918884,0.1652882695198059,0.16507706542809805,0.16473913192749023,0.11975527554750443,0.11963716894388199,0.11942905932664871,3,0.04594459757208824,0.045942116528749466,0.045940615236759186,shift,0.8995150859136639,0.8991978266979106,0.8990232468363414,0.10097675316365862,0.10080217330208936,0.10048491408633609,dog_sunglasses
support_v3_fixed,0.0995277464389801,0.0990247130393982,0.09845972061157227,0.19007278978824615,0.1851427654425303,0.1825082153081894,0.0998675525188446,0.09632357954978943,0.09297910332679749,0.1684345155954361,0.16745120286941528,0.16628089547157288,0.12048590928316116,0.11945293098688126,0.11893640458583832,3,0.04580426216125488,0.04576895013451576,0.045725371688604355,boundary_noise,0.9042896754482276,0.9035450865821065,0.9024697081549109,0.0975302918450891,0.09645491341789354,0.09571032455177242,dog_sunglasses
support_v3_fixed,0.10193666815757751,0.09832999110221863,0.09405851364135742,0.2831709086894989,0.2648121118545532,0.22852075099945068,0.09505793452262878,0.09229032198588054,0.09085440635681152,0.18485009670257568,0.18231700857480368,0.17747482657432556,0.14756758511066437,0.14116399983565012,0.12914100289344788,3,0.05028802528977394,0.04913519322872162,0.046901311725378036,dilate,0.8900728036943583,0.873279028706432,0.8645537845893343,0.1354462154106657,0.12672097129356788,0.10992719630564174,dog_sunglasses
support_v3_fixed,0.09502139687538147,0.09477044145266215,0.09434998035430908,0.15302494168281555,0.15204445521036783,0.15133462846279144,0.09141060709953308,0.0913326342900594,0.09118977189064026,0.15256579220294952,0.15251059333483377,0.1524350643157959,0.11440298706293106,0.1143567090233167,0.1143234521150589,3,0.04540402442216873,0.04540304094552994,0.045401521027088165,erode,0.9130467191428004,0.9128442070208668,0.9125746659936628,0.08742533400633723,0.08715579297913323,0.08695328085719956,dog_sunglasses
support_v3_fixed,0.09810110926628113,0.09703513979911804,0.0954413115978241,0.18620456755161285,0.1819749375184377,0.17832936346530914,0.0999167263507843,0.09438820679982503,0.09057873487472534,0.1691683530807495,0.16779524087905884,0.16661715507507324,0.11929389834403992,0.11912787954012553,0.1189241111278534,3,0.04577823355793953,0.04571959127982458,0.04565976560115814,holes,0.9057634404572563,0.9043500530382369,0.9029242703679591,0.09707572963204092,0.09564994696176306,0.09423655954274368,dog_sunglasses
support_v3_fixed,0.09590020775794983,0.09453351298967998,0.09256041049957275,0.20021581649780273,0.19837131599585214,0.19719712436199188,0.09297442436218262,0.091314564148585,0.08864003419876099,0.1685619205236435,0.16812567909558615,0.16782516241073608,0.1226908415555954,0.1226118952035904,0.12248344719409943,3,0.04606250301003456,0.04605632026990255,0.04604974016547203,shift,0.8991814876691249,0.8989046001047732,0.8984648978646519,0.10153510213534811,0.10109539989522671,0.10081851233087513,dog_sunglasses
