base_method,complete,condition,edit_scale,eval_mask_area,family,final_mask_area,inside_mask_l1,mask_path,method,missing,outside_mask_l1,perturbation,result_image,runtime_seconds,seed,source_image,source_l1,source_prompt,source_ssim_luma,ssim_loss,target_prompt,task
support_v3_controller_rmsgap,True,dilate,,0.0617236328125,support_perturb,0.07093749940395355,0.22287112474441528,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_dilate/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_dilate,,0.046657539904117584,dilate,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_dilate/seed_10/result.png,51.474961188971065,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05753409117460251,A front-facing portrait of a dog in snow.,0.8911312003245407,0.10886879967545926,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,True,erode,,0.0617236328125,support_perturb,0.029374999925494194,0.1491691619157791,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_erode/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_erode,,0.045357562601566315,erode,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_erode/seed_10/result.png,51.22609467303846,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05176519230008125,A front-facing portrait of a dog in snow.,0.913361899830925,0.08663810016907503,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,True,holes,,0.0617236328125,support_perturb,0.044999998062849045,0.1845971643924713,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_holes/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_holes,,0.04573369771242142,holes,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_holes/seed_10/result.png,54.274922930053435,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054304853081703186,A front-facing portrait of a dog in snow.,0.9028555500835441,0.09714444991645588,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,True,shift,,0.0617236328125,support_perturb,0.04906249791383743,0.1951518952846527,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_shift/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_shift,,0.045940615236759186,shift,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_shift/seed_10/result.png,47.16438814997673,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05515046417713165,A front-facing portrait of a dog in snow.,0.8990551473437266,0.1009448526562734,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.1826533079147339,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.04582487419247627,,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_10/result.png,56.22531503601931,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.0542704202234745,A front-facing portrait of a dog in snow.,0.9038029542465928,0.09619704575340715,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.18261027336120605,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_11/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.04582729935646057,,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_11/result.png,55.87824542191811,11,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054270025342702866,A front-facing portrait of a dog in snow.,0.9038492305910215,0.09615076940897849,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.18534857034683228,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_12/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.04583554342389107,,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_12/result.png,52.55116100597661,12,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05444679781794548,A front-facing portrait of a dog in snow.,0.9030364640836567,0.09696353591634332,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,True,boundary_noise,,0.0617236328125,support_perturb,0.04531249776482582,0.1825082153081894,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_boundary_noise/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_pert_boundary_noise,,0.04577721655368805,boundary_noise,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_boundary_noise/seed_10/result.png,52.61735816102009,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054216742515563965,A front-facing portrait of a dog in snow.,0.9038758761431809,0.09612412385681912,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,True,dilate,,0.0617236328125,support_perturb,0.07093749940395355,0.22852075099945068,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_dilate/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_pert_dilate,,0.046901311725378036,dilate,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_dilate/seed_10/result.png,52.02241811901331,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.058111522346735,A front-facing portrait of a dog in snow.,0.8900728036943583,0.10992719630564174,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,True,erode,,0.0617236328125,support_perturb,0.029374999925494194,0.15177379548549652,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_erode/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_pert_erode,,0.04540402442216873,erode,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_erode/seed_10/result.png,51.67664103698917,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05196954682469368,A front-facing portrait of a dog in snow.,0.9129112359261371,0.0870887640738629,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
