base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,edit_scale,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.050968289375305176,0.050968289375305176,0.050968289375305176,0.5,0.05583639442920685,0.05583639442920685,0.05583639442920685,0.06422555446624756,0.06422555446624756,0.06422555446624756,1,0.007435895036906004,0.007435895036906004,0.007435895036906004,0.9054354147041866,0.9054354147041866,0.9054354147041866,0.09456458529581335,0.09456458529581335,0.09456458529581335,mug_heart
support_v3_controller_rmsgap,0.04520329833030701,0.04520329833030701,0.04520329833030701,0.75,0.06879272311925888,0.06879272311925888,0.06879272311925888,0.05940943956375122,0.05940943956375122,0.05940943956375122,1,0.007504134904593229,0.007504134904593229,0.007504134904593229,0.8796881900405352,0.8796881900405352,0.8796881900405352,0.12031180995946478,0.12031180995946478,0.12031180995946478,mug_heart
support_v3_controller_rmsgap,0.043876856565475464,0.043876856565475464,0.043876856565475464,1.0,0.07648108899593353,0.07648108899593353,0.07648108899593353,0.05981391668319702,0.05981391668319702,0.05981391668319702,1,0.00771446293219924,0.00771446293219924,0.00771446293219924,0.8679553536852896,0.8679553536852896,0.8679553536852896,0.13204464631471036,0.13204464631471036,0.13204464631471036,mug_heart
support_v3_controller_rmsgap,0.04252025485038757,0.04252025485038757,0.04252025485038757,1.25,0.08181320875883102,0.08181320875883102,0.08181320875883102,0.06094369292259216,0.06094369292259216,0.06094369292259216,1,0.00785684585571289,0.00785684585571289,0.00785684585571289,0.8561312220586182,0.8561312220586182,0.8561312220586182,0.14386877794138175,0.14386877794138175,0.14386877794138175,mug_heart
support_v3_controller_rmsgap,0.04431360960006714,0.04431360960006714,0.04431360960006714,1.5,0.08468160778284073,0.08468160778284073,0.08468160778284073,0.05691853165626526,0.05691853165626526,0.05691853165626526,1,0.00805645901709795,0.00805645901709795,0.00805645901709795,0.8522048095068195,0.8522048095068195,0.8522048095068195,0.14779519049318046,0.14779519049318046,0.14779519049318046,mug_heart
support_v3_fixed,0.049120306968688965,0.049120306968688965,0.049120306968688965,0.5,0.05911805480718613,0.05911805480718613,0.05911805480718613,0.06215107440948486,0.06215107440948486,0.06215107440948486,1,0.007531228009611368,0.007531228009611368,0.007531228009611368,0.9034010593051056,0.9034010593051056,0.9034010593051056,0.09659894069489439,0.09659894069489439,0.09659894069489439,mug_heart
support_v3_fixed,0.04493996500968933,0.04493996500968933,0.04493996500968933,0.75,0.07120505720376968,0.07120505720376968,0.07120505720376968,0.05827820301055908,0.05827820301055908,0.05827820301055908,1,0.0076180631294846535,0.0076180631294846535,0.0076180631294846535,0.8775933403241583,0.8775933403241583,0.8775933403241583,0.12240665967584174,0.12240665967584174,0.12240665967584174,mug_heart
support_v3_fixed,0.042412400245666504,0.042412400245666504,0.042412400245666504,1.0,0.07819762080907822,0.07819762080907822,0.07819762080907822,0.058993011713027954,0.058993011713027954,0.058993011713027954,1,0.00781150721013546,0.00781150721013546,0.00781150721013546,0.8643264235489483,0.8643264235489483,0.8643264235489483,0.13567357645105171,0.13567357645105171,0.13567357645105171,mug_heart
support_v3_fixed,0.042800694704055786,0.042800694704055786,0.042800694704055786,1.25,0.0827375128865242,0.0827375128865242,0.0827375128865242,0.0615786612033844,0.0615786612033844,0.0615786612033844,1,0.007879113778471947,0.007879113778471947,0.007879113778471947,0.853479644480844,0.853479644480844,0.853479644480844,0.146520355519156,0.146520355519156,0.146520355519156,mug_heart
support_v3_fixed,0.04340428113937378,0.04340428113937378,0.04340428113937378,1.5,0.0855925902724266,0.0855925902724266,0.0855925902724266,0.058300286531448364,0.058300286531448364,0.058300286531448364,1,0.008052198216319084,0.008052198216319084,0.008052198216319084,0.8497204424430814,0.8497204424430814,0.8497204424430814,0.15027955755691857,0.15027955755691857,0.15027955755691857,mug_heart
