task,seed,variant,display_name,role,mask_path,threshold_policy,complete,missing,support_iou,support_precision,support_recall,support_area_ratio,eval_area_ratio,downstream_method,outside_mask_l1,inside_mask_l1,source_ssim_luma,edit_score
backpack_remove_toy_charm,10,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.5015,0.7711,0.5892,0.1245,0.1630,support_v3_controller_rmsgap,0.029502063989639282,0.13889677822589874,0.736510163930891,-0.017140477895736694
backpack_remove_toy_charm,11,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0450,0.1927,0.0555,0.0469,0.1630,,,,,
backpack_remove_toy_charm,11,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0827,0.3432,0.0982,0.0466,0.1630,,,,,
backpack_remove_toy_charm,11,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0820,0.3428,0.0973,0.0463,0.1630,,,,,
backpack_remove_toy_charm,11,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.5015,0.7711,0.5892,0.1245,0.1630,,,,,
backpack_remove_toy_charm,11,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_11/masks/core_final.png,binary_midpoint,1,0,0.1813,0.6873,0.1976,0.0469,0.1630,adaptive_full_generic_support,0.028018802404403687,0.08002035319805145,0.795654064066957,-0.007773399353027344
backpack_remove_toy_charm,11,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.5015,0.7711,0.5892,0.1245,0.1630,support_v3_controller_rmsgap,0.029505642130970955,0.13901536166667938,0.7363181918763054,-0.01715749502182007
backpack_remove_toy_charm,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0450,0.1927,0.0555,0.0469,0.1630,,,,,
backpack_remove_toy_charm,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0827,0.3432,0.0982,0.0466,0.1630,,,,,
backpack_remove_toy_charm,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0820,0.3428,0.0973,0.0463,0.1630,,,,,
backpack_remove_toy_charm,12,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.5015,0.7711,0.5892,0.1245,0.1630,,,,,
backpack_remove_toy_charm,12,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_12/masks/core_final.png,binary_midpoint,1,0,0.1813,0.6873,0.1976,0.0469,0.1630,adaptive_full_generic_support,0.02802143059670925,0.0800229161977768,0.7955723104548368,-0.0076944828033447266
backpack_remove_toy_charm,12,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.5015,0.7711,0.5892,0.1245,0.1630,support_v3_controller_rmsgap,0.029486851766705513,0.13895009458065033,0.7370820417187456,-0.016286760568618774
